Symbol	Name	LastSale	MarketCap	IPOyear	Sector	industry	Summary Quote
XXII	"22nd Century Group, Inc"	0.9	$81.63M	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/xxii
FAX	Aberdeen Asia-Pacific Income Fund Inc	4.76	$1.21B	1986	n/a	n/a	http://www.nasdaq.com/symbol/fax
IAF	Aberdeen Australia Equity Fund Inc	5.82	$132.36M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/iaf
CH	"Aberdeen Chile Fund, Inc."	6.23	$58.48M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ch
ABE           	Aberdeen Emerging Markets Smaller Company Opportunities Fund I	11.43	$110.23M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abe
FCO	"Aberdeen Global Income Fund, Inc."	8.23	$71.97M	1992	n/a	n/a	http://www.nasdaq.com/symbol/fco
IF	"Aberdeen Indonesia Fund, Inc."	6.27	$58.94M	1990	n/a	n/a	http://www.nasdaq.com/symbol/if
ISL	"Aberdeen Israel Fund, Inc."	16.22	$64.85M	1992	n/a	n/a	http://www.nasdaq.com/symbol/isl
ACU	Acme United Corporation.	24.59	$81.76M	1988	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/acu
AIII	"ACRE Realty Investors, Inc."	1.21	$24.76M	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aiii
ATNM	"Actinium Pharmaceuticals, Inc."	1.08	$60.21M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/atnm
AE	"Adams Resources & Energy, Inc."	39.01	$164.53M	n/a	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/ae
ADK	Adcare Health Systems Inc	1.54	$30.7M	n/a	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/adk
ADK^A	Adcare Health Systems Inc	21.97	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/adk^a
ACY	AeroCentury Corp.	10.25	$16.06M	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/acy
AIRI	Air Industries Group	3	$22.75M	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/airi
AXU	Alexco Resource Corp	1.83	$170.07M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/axu
AAU	"Almaden Minerals, Ltd."	1.07	$92.25M	2015	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/aau
APT	"Alpha Pro Tech, Ltd."	3.1	$50.53M	n/a	Health Care	Industrial Specialties	http://www.nasdaq.com/symbol/apt
AAMC	Altisource Asset Management Corp	69.1578	$102.33M	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/aamc
DIT	AMCON Distributing Company	119.1	$82.18M	n/a	Consumer Non-Durables	Food Distributors	http://www.nasdaq.com/symbol/dit
ADGE	American DG Energy Inc.	0.355	$17.99M	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/adge
AFCO	American Farmland Company	8.02	$157.27M	2015	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/afco
ALN	American Lorain Corporation	0.5503	$21.06M	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/aln
AMS	American Shared Hospital Services	4.275	$22.95M	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/ams
AMPE	"Ampio Pharmaceuticals, Inc."	1.01	$57.75M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/ampe
APHB	AmpliPhi Biosciences Corporation	0.51	$8.42M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/aphb
AXN	"Aoxing Pharmaceutical Company, Inc."	0.4284	$32.65M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/axn
ARNC^	Arconic Inc.	85.75	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/arnc^
HRT	Arrhythmia Research Technology Inc.	3.88	$10.93M	n/a	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	http://www.nasdaq.com/symbol/hrt
AKG	Asanko Gold Inc.	3.77	$760.9M	n/a	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/akg
AINC	Ashford Inc.	44.925	$90.55M	2014	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/ainc
ASB.WS	Associated Banc-Corp	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/asb.ws
AST	"Asterias Biotherapeutics, Inc."	4.85	$225.15M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/ast
AST.WS	"Asterias Biotherapeutics, Inc."	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ast.ws
AWX	Avalon Holdings Corporation	2.78	$10.57M	n/a	Public Utilities	Environmental Services	http://www.nasdaq.com/symbol/awx
ASM	Avino Silver	1.4	$73.4M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/asm
BTG	B2Gold Corp	2.78	$2.68B	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/btg
BTN	"Ballantyne Strong, Inc"	7.3	$104.03M	n/a	Miscellaneous	Industrial Machinery/Components	http://www.nasdaq.com/symbol/btn
BKJ	"Bancorp of New Jersey, Inc"	13.7	$86.53M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/bkj
BCV	Bancroft Fund Limited	20.88	$107.14M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/bcv
BCV^A	Bancroft Fund Limited	23.9443	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/bcv^a
BAA	BANRO CORPORATION	0.1866	$56.44M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/baa
BHB	"Bar Harbor Bankshares, Inc."	43.69	$264.59M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/bhb
BRN	"Barnwell Industries, Inc."	1.71	$14.15M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/brn
BGSF	BG Staffing Inc	14	$121.36M	n/a	Technology	Professional Services	http://www.nasdaq.com/symbol/bgsf
BPMX	BioPharmX Corporation	0.422	$27.18M	2015	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/bpmx
BTX	"BioTime, Inc."	3.46	$357.74M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/btx
BTX.WS	"BioTime, Inc."	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/btx.ws
BGI	Birks Group Inc.	1.2	$21.55M	n/a	Consumer Services	Consumer Specialties	http://www.nasdaq.com/symbol/bgi
BZM	BlackRock Maryland Municipal Bond Trust	14.3774	$29.89M	2002	n/a	n/a	http://www.nasdaq.com/symbol/bzm
MHE	BlackRock Massachusetts Tax-Exempt Trust	14.31	$33.88M	1993	n/a	n/a	http://www.nasdaq.com/symbol/mhe
BLE	BlackRock Municipal Income Trust II	14.93	$350.71M	2002	n/a	n/a	http://www.nasdaq.com/symbol/ble
BLJ	Blackrock New Jersey Municipal Bond Trust	14.6344	$34.05M	2002	n/a	n/a	http://www.nasdaq.com/symbol/blj
BFY	BlackRock New York Municipal Income Trust II	14.92	$74.67M	2002	n/a	n/a	http://www.nasdaq.com/symbol/bfy
BHV	BlackRock Virginia Municipal Bond Trust	16.045	$25.63M	2002	n/a	n/a	http://www.nasdaq.com/symbol/bhv
BDR	"Blonder Tongue Laboratories, Inc."	0.6412	$5.19M	n/a	Technology	Radio And Television Broadcasting And Communications Equipment	http://www.nasdaq.com/symbol/bdr
BRG	"Bluerock Residential Growth REIT, Inc."	13.09	$256.13M	2014	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/brg
BRG^A	"Bluerock Residential Growth REIT, Inc."	26.49	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/brg^a
BRG^C	"Bluerock Residential Growth REIT, Inc."	25.48	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/brg^c
BRG^D	"Bluerock Residential Growth REIT, Inc."	23.85	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/brg^d
BVX	Bovie Medical Corporation	3.95	$114.54M	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/bvx
BWL.A	"Bowl America, Inc."	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/bwl.a
BTI	British American Tobacco p.l.c.	115.21	$107.4B	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/bti
CEI	"Camber Energy, Inc."	1.02	$21.45M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/cei
CANF	Can-Fite Biopharma Ltd	2.36	$32.7M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/canf
ROX	"Castle Brands, Inc."	0.743	$119.59M	2006	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/rox
CAW	"CCA Industries, Inc."	2.6	$18.22M	n/a	Consumer Non-Durables	Package Goods/Cosmetics	http://www.nasdaq.com/symbol/caw
CVM	Cel-Sci Corporation	0.127	$23.97M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/cvm
CVM.WS	Cel-Sci Corporation	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cvm.ws
CEF	Central Fund of Canada Limited	12.17	$3.07B	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cef
CET	Central Securities Corporation	22.18	$543.56M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cet
LEU	Centrus Energy Corp.	7.15	$64.35M	2014	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/leu
CCF	Chase Corporation	85.1	$795.22M	n/a	Consumer Durables	Building Products	http://www.nasdaq.com/symbol/ccf
CQH	"Cheniere Energy Partners LP Holdings, LLC"	22.48	$5.21B	2013	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/cqh
CQP	"Cheniere Energy Partners, LP"	28.19	$9.52B	2007	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/cqp
LNG	"Cheniere Energy, Inc."	43.45	$10.34B	n/a	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/lng
CVR	Chicago Rivet & Machine Co.	43.0345	$41.58M	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/cvr
CPHI	"China Pharma Holdings, Inc."	0.28	$12.2M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/cphi
CKX	"CKX Lands, Inc."	11.2	$21.76M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ckx
GLV	Clough Global Dividend and Income Fund	12.15	$126.27M	2004	n/a	n/a	http://www.nasdaq.com/symbol/glv
GLQ	Clough Global Equity Fund	11.47	$202.48M	2005	n/a	n/a	http://www.nasdaq.com/symbol/glq
GLO	Clough Global Opportunities Fund	9.2	$474.48M	2006	n/a	n/a	http://www.nasdaq.com/symbol/glo
MOC	Command Security Corporation	2.74	$26.97M	n/a	Consumer Services	Diversified Commercial Services	http://www.nasdaq.com/symbol/moc
CIX	CompX International Inc.	13.55	$168.28M	1998	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/cix
LODE	"Comstock Mining, Inc."	0.2803	$51.71M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/lode
CTO	Consolidated-Tomoka Land Co.	55.37	$317.8M	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/cto
MCF	Contango Oil & Gas Company	8.38	$211.7M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/mcf
CUO	Continental Materials Corporation	27.15	$45.37M	n/a	Capital Goods	Building Materials	http://www.nasdaq.com/symbol/cuo
CMT	Core Molding Technologies Inc	15.79	$123.03M	n/a	Consumer Non-Durables	Plastic Products	http://www.nasdaq.com/symbol/cmt
CVRS	"Corindus Vascular Robotics, Inc."	0.5407	$64.36M	2015	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/cvrs
CRMD	CorMedix Inc	1.8	$72.77M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/crmd
CRF	"Cornerstone Strategic Return Fund, Inc. (The)"	14.97	$116.2M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/crf
CLM	"Cornerstone Strategic Value Fund, Inc."	14.99	$324.42M	1987	n/a	n/a	http://www.nasdaq.com/symbol/clm
CVU	"CPI Aerostructures, Inc."	8.475	$74.04M	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/cvu
CIK	"Credit Suisse Asset Management Income Fund, Inc."	3.24	$169.37M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/cik
DHY	Credit Suisse High Yield Bond Fund	2.65	$264.99M	1998	n/a	n/a	http://www.nasdaq.com/symbol/dhy
CRHM	CRH Medical Corporation	6.2	$450.95M	2015	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/crhm
CRVP	"Crystal Rock Holdings, Inc."	0.83	$17.73M	n/a	Consumer Non-Durables	Food Distributors	http://www.nasdaq.com/symbol/crvp
DXR	Daxor Corporation	8.41	$32.18M	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/dxr
VCF	"Delaware Investments Colorado Municipal Income Fund, Inc"	14.875	$71.95M	1993	n/a	n/a	http://www.nasdaq.com/symbol/vcf
VFL	Delaware Investments Florida Insured Municipal Income Fund	13.2	$59.78M	1993	n/a	n/a	http://www.nasdaq.com/symbol/vfl
VMM	"Delaware Investments Minnesota Municipal Income Fund II, Inc."	13.87	$159.57M	1993	n/a	n/a	http://www.nasdaq.com/symbol/vmm
DLA	"Delta Apparel, Inc."	20.3	$154.57M	n/a	Consumer Non-Durables	Apparel	http://www.nasdaq.com/symbol/dla
DNN	Denison Mine Corp	0.805	$429.4M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/dnn
DGSE	"DGSE Companies, Inc."	1.21	$32.52M	n/a	Consumer Services	Consumer Specialties	http://www.nasdaq.com/symbol/dgse
DPW	Digital Power Corporation	0.59	$4.53M	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/dpw
DSS	"Document Security Systems, Inc."	0.79	$10.49M	n/a	Consumer Durables	Containers/Packaging	http://www.nasdaq.com/symbol/dss
DMF	"Dreyfus Municipal Income, Inc."	8.88	$184.23M	1988	n/a	n/a	http://www.nasdaq.com/symbol/dmf
GRF	"Eagle Capital Growth Fund, Inc."	7.22	$23.56M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/grf
ESTE	"Earthstone Energy, Inc."	13.58	$302.69M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/este
EVM	Eaton Vance California Municipal Bond Fund	11.64	$249.03M	2002	n/a	n/a	http://www.nasdaq.com/symbol/evm
EIA	Eaton Vance California Municipal Bond Fund II	11.82	$45.94M	2002	n/a	n/a	http://www.nasdaq.com/symbol/eia
CEV	Eaton Vance California Municipal Income Trust	12.5408	$90.98M	1999	n/a	n/a	http://www.nasdaq.com/symbol/cev
EVV	Eaton Vance Limited Duration Income Fund	13.85	$1.61B	2003	n/a	n/a	http://www.nasdaq.com/symbol/evv
MAB	Eaton Vance Massachusetts Municipal Bond Fund	13.84	$24.48M	2002	n/a	n/a	http://www.nasdaq.com/symbol/mab
MMV	Eaton Vance Massachusetts Municipal Income Trust	13.4	$36.68M	1999	n/a	n/a	http://www.nasdaq.com/symbol/mmv
MIW	Eaton Vance Michigan Municipal Bond Fund	13.6378	$20.46M	2002	n/a	n/a	http://www.nasdaq.com/symbol/miw
EMI	Eaton Vance Michigan Municipal Income Trust	13.1899	$26.55M	1999	n/a	n/a	http://www.nasdaq.com/symbol/emi
EIM	Eaton Vance Municipal Bond Fund	12.76	$869.83M	2002	n/a	n/a	http://www.nasdaq.com/symbol/eim
EIV	Eaton Vance Municipal Bond Fund II	12.42	$124.37M	2002	n/a	n/a	http://www.nasdaq.com/symbol/eiv
EMJ	Eaton Vance New Jersey Municipal Bond Fund	12.9	$33.27M	2002	n/a	n/a	http://www.nasdaq.com/symbol/emj
EVJ	Eaton Vance New Jersey Municipal Income Trust	12.05	$55.41M	1999	n/a	n/a	http://www.nasdaq.com/symbol/evj
ENX	Eaton Vance New York Municipal Bond Fund	12.53	$196.24M	2002	n/a	n/a	http://www.nasdaq.com/symbol/enx
NYH	Eaton Vance New York Municipal Bond Fund II	12.05	$30.81M	2002	n/a	n/a	http://www.nasdaq.com/symbol/nyh
EVY	Eaton Vance New York Municipal Income Trust	13.2	$72.27M	1999	n/a	n/a	http://www.nasdaq.com/symbol/evy
EIO	Eaton Vance Ohio Municipal Bond Fund	13.2003	$33.5M	2002	n/a	n/a	http://www.nasdaq.com/symbol/eio
EVO	Eaton Vance Ohio Municipal Income Trust	14	$40M	1999	n/a	n/a	http://www.nasdaq.com/symbol/evo
EIP	Eaton Vance Pennsylvania Municipal Bond Fund	12.85	$38.04M	2002	n/a	n/a	http://www.nasdaq.com/symbol/eip
EVP	Eaton Vance Pennsylvania Municipal Income Trust	12.18	$31.68M	1999	n/a	n/a	http://www.nasdaq.com/symbol/evp
ELMD	"Electromed, Inc."	3.9	$32.05M	2011	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	http://www.nasdaq.com/symbol/elmd
ELLO	Ellomay Capital Ltd.	8.1301	$86.82M	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/ello
ECF	Ellsworth Growth and Income Fund Ltd.	8.529	$110.11M	1986	n/a	n/a	http://www.nasdaq.com/symbol/ecf
EMAN	eMagin Corporation	2.65	$83.8M	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/eman
MSN	Emerson Radio Corporation	1.1	$29.84M	n/a	Consumer Non-Durables	Consumer Electronics/Appliances	http://www.nasdaq.com/symbol/msn
UUUU	Energy Fuels Inc	2.29	$198.4M	n/a	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/uuuu
UUUU.WS	Energy Fuels Inc	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/uuuu.ws
ENRJ	"EnerJex Resources, Inc."	0.31	$2.61M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/enrj
ENSV	ENSERVCO Corporation	0.5552	$28.35M	n/a	Energy	Oilfield Services/Equipment	http://www.nasdaq.com/symbol/ensv
ESNC	"EnSync, Inc."	0.72	$34.45M	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/esnc
EGI	Entree Gold Inc	0.4044	$61.89M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/egi
EVI	"EnviroStarm, Inc."	14.1	$140.73M	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/evi
ERN	Erin Energy Corp.	3.2	$680.6M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ern
ESP	Espey Mfg. & Electronics Corp.	26	$61.48M	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/esp
EMX	Eurasian Minerals Inc.	1.07	$79.28M	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/emx
EVBN	"Evans Bancorp, Inc."	35.4273	$152.06M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/evbn
EPM	"Evolution Petroleum Corporation, Inc."	9.3	$307.32M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/epm
XRA	Exeter Resource Corporation	0.79	$70.04M	n/a	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/xra
FPP	FieldPoint Petroleum Corporation	0.7	$6.85M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/fpp
FPP.WS	FieldPoint Petroleum Corporation	n/a	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/fpp.ws
FEN	First Trust Energy Income and Growth Fund	27.5	$532.27M	2004	n/a	n/a	http://www.nasdaq.com/symbol/fen
BDL	"Flanigan&#39;s Enterprises, Inc."	24.9	$46.28M	n/a	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/bdl
FSI	Flexible Solutions International Inc.	1.32	$15.12M	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/fsi
FTF	Franklin Limited Duration Income Trust	12.11	$324.49M	2003	n/a	n/a	http://www.nasdaq.com/symbol/ftf
FSP	Franklin Street Properties Corp.	12.89	$1.38B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/fsp
FRD	Friedman Industries Inc.	7.06	$48M	n/a	Capital Goods	Steel/Iron Ore	http://www.nasdaq.com/symbol/frd
